>>> Hostname is uaf-10.t2.ucsd.edu
inputs : /home/users/joytzphysics//ttdilep/output0.root

                                                                                                    
RooUtil:: Adding /home/users/joytzphysics//ttdilep/output0.root

                                                                                                    
RooUtil:: Start EventLooping

                                                                                                    
RooUtil:: System info:
uaf-10.t2.ucsd.edu
Linux uaf-10.t2.ucsd.edu 5.14.13-1.el7.elrepo.x86_64 #1 SMP Fri Oct 15 13:26:13 EDT 2021 x86_64 x86_64 x86_64 GNU/Linux
Fri Jul 29 18:55:29 PDT 2022
joytzphysics
/home/users/joytzphysics/NanoLooper

                                                                                                    
RooUtil::  _

                                                                                                    
RooUtil:: /\\

                                                                                                    
RooUtil:: \ \\  \__/ \__/

                                                                                                    
RooUtil::  \ \\ (oo) (oo)  Here we come!

                                                                                                    
RooUtil::   \_\\/~~\_/~~\_

                                                                                                    
RooUtil::  _.-~===========~-._

                                                                                                    
RooUtil:: (___________________)

                                                                                                    
RooUtil::       \_______/

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::  Your friendly aliens

                                                                                                    
RooUtil::      Surf & Turf

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil:: Total Events in this Chain to process = 1675664

                                                                                                    
RooUtil:: TTreeCache enabled

                                                                                                    
RooUtil:: Looping /home/users/joytzphysics//ttdilep/output0.root/TTree:Events
RooUtil:: \|....................| 0.0 % (433/1675664) with  [146 Hz]   ETA 03:10:26         
RooUtil:: ||....................| 0.0 % (451/1675664) with  [152 Hz]   ETA 03:02:49         
RooUtil:: /|....................| 0.0 % (466/1675664) with  [157 Hz]   ETA 02:56:56         
RooUtil:: -|....................| 0.0 % (481/1675664) with  [162 Hz]   ETA 02:51:25         
RooUtil:: \|....................| 0.0 % (496/1675664) with  [167 Hz]   ETA 02:46:14         
RooUtil:: ||....................| 0.0 % (511/1675664) with  [173 Hz]   ETA 02:41:21         
RooUtil:: /|....................| 0.0 % (526/1675664) with  [178 Hz]   ETA 02:36:45         
RooUtil:: -|....................| 0.0 % (541/1675664) with  [183 Hz]   ETA 02:32:24         
RooUtil:: \|....................| 0.0 % (556/1675664) with  [188 Hz]   ETA 02:28:18         
RooUtil:: ||....................| 0.0 % (571/1675664) with  [193 Hz]   ETA 02:24:24         
RooUtil:: /|....................| 0.0 % (586/1675664) with  [198 Hz]   ETA 02:20:42         
RooUtil:: -|....................| 0.0 % (601/1675664) with  [203 Hz]   ETA 02:17:12         
RooUtil:: \|....................| 0.0 % (616/1675664) with  [208 Hz]   ETA 02:13:52         
RooUtil:: ||....................| 0.0 % (631/1675664) with  [213 Hz]   ETA 02:10:41         
RooUtil:: /|....................| 0.0 % (646/1675664) with  [218 Hz]   ETA 02:07:39         
RooUtil:: -|....................| 0.0 % (661/1675664) with  [223 Hz]   ETA 02:04:46         
RooUtil:: \|....................| 0.0 % (676/1675664) with  [228 Hz]   ETA 02:02:00         
RooUtil:: ||....................| 0.0 % (691/1675664) with  [233 Hz]   ETA 01:59:21         
RooUtil:: /|....................| 0.0 % (706/1675664) with  [238 Hz]   ETA 01:56:49         
RooUtil:: \|....................| 0.1 % (1411/1675664) with  [476 Hz]   ETA 00:58:36         
RooUtil:: ||....................| 0.1 % (1441/1675664) with  [486 Hz]   ETA 00:57:23         
RooUtil:: /|....................| 0.1 % (1471/1675664) with  [496 Hz]   ETA 00:56:13         
RooUtil:: -|....................| 0.1 % (1501/1675664) with  [506 Hz]   ETA 00:55:06         
RooUtil:: \|....................| 0.1 % (1531/1675664) with  [516 Hz]   ETA 00:54:02         
RooUtil:: ||....................| 0.1 % (1561/1675664) with  [526 Hz]   ETA 00:53:00         
RooUtil:: /|....................| 0.1 % (1591/1675664) with  [536 Hz]   ETA 00:52:00         
RooUtil:: -|....................| 0.1 % (1621/1675664) with  [546 Hz]   ETA 00:51:03         
RooUtil:: \|....................| 0.1 % (1651/1675664) with  [556 Hz]   ETA 00:50:08         
RooUtil:: ||....................| 0.1 % (1681/1675664) with  [566 Hz]   ETA 00:49:14         
RooUtil:: /|....................| 0.1 % (1711/1675664) with  [576 Hz]   ETA 00:48:23         
RooUtil:: -|....................| 0.1 % (1741/1675664) with  [586 Hz]   ETA 00:47:33         
RooUtil:: \|....................| 0.1 % (1771/1675664) with  [596 Hz]   ETA 00:46:45         
RooUtil:: ||....................| 0.1 % (1801/1675664) with  [606 Hz]   ETA 00:45:59         
RooUtil:: /|....................| 0.1 % (1831/1675664) with  [616 Hz]   ETA 00:45:14         
RooUtil:: -|....................| 0.1 % (1861/1675664) with  [626 Hz]   ETA 00:44:30         
RooUtil:: \|....................| 0.1 % (1891/1675664) with  [636 Hz]   ETA 00:43:48         
RooUtil:: ||....................| 0.1 % (1921/1675664) with  [646 Hz]   ETA 00:43:08         
RooUtil:: /|....................| 0.1 % (1951/1675664) with  [638 Hz]   ETA 00:43:42         
RooUtil:: -|....................| 0.1 % (2049/1675664) with  [670 Hz]   ETA 00:41:37         
RooUtil:: \|....................| 0.1 % (2161/1675664) with  [706 Hz]   ETA 00:39:29         
RooUtil:: ||....................| 0.1 % (2273/1675664) with  [742 Hz]   ETA 00:37:33         
RooUtil:: /|....................| 0.1 % (2385/1675664) with  [775 Hz]   ETA 00:35:58         
RooUtil:: -|....................| 0.1 % (2497/1675664) with  [811 Hz]   ETA 00:34:22         
RooUtil:: \|....................| 0.2 % (2609/1675664) with  [847 Hz]   ETA 00:32:54         
RooUtil:: ||....................| 0.2 % (2721/1675664) with  [883 Hz]   ETA 00:31:34         
RooUtil:: /|....................| 0.2 % (2833/1675664) with  [919 Hz]   ETA 00:30:19         
RooUtil:: -|....................| 0.2 % (2945/1675664) with  [954 Hz]   ETA 00:29:12         
RooUtil:: \|....................| 0.2 % (3057/1675664) with  [990 Hz]   ETA 00:28:08         
RooUtil:: ||....................| 0.2 % (3185/1675664) with  [1031 Hz]   ETA 00:27:01         
RooUtil:: /|....................| 0.2 % (3313/1675664) with  [1072 Hz]   ETA 00:25:59         
RooUtil:: -|....................| 0.2 % (3441/1675664) with  [1112 Hz]   ETA 00:25:02         
RooUtil:: \|....................| 0.2 % (3569/1675664) with  [1153 Hz]   ETA 00:24:09         
RooUtil:: ||....................| 0.2 % (3697/1675664) with  [1184 Hz]   ETA 00:23:31         
RooUtil:: /|....................| 0.2 % (3793/1675664) with  [1208 Hz]   ETA 00:23:02         
RooUtil:: -|....................| 0.2 % (3873/1675664) with  [1233 Hz]   ETA 00:22:35         
RooUtil:: \|....................| 0.2 % (3953/1675664) with  [1245 Hz]   ETA 00:22:22         
RooUtil:: ||....................| 0.2 % (4001/1675664) with  [1260 Hz]   ETA 00:22:06         
RooUtil:: /|....................| 0.2 % (4049/1675664) with  [1275 Hz]   ETA 00:21:50         
RooUtil:: -|....................| 0.2 % (4097/1675664) with  [1290 Hz]   ETA 00:21:35         
RooUtil:: \|....................| 0.2 % (4145/1675664) with  [1305 Hz]   ETA 00:21:20         
RooUtil:: ||....................| 0.3 % (4193/1675664) with  [1319 Hz]   ETA 00:21:06         
RooUtil:: /|....................| 0.3 % (4225/1675664) with  [1329 Hz]   ETA 00:20:56         
RooUtil:: -|....................| 0.3 % (4257/1675664) with  [1339 Hz]   ETA 00:20:47         
RooUtil:: \|....................| 0.3 % (4289/1675664) with  [1349 Hz]   ETA 00:20:38         
RooUtil:: ||....................| 0.3 % (4321/1675664) with  [1359 Hz]   ETA 00:20:29         
RooUtil:: /|....................| 0.3 % (4353/1675664) with  [1369 Hz]   ETA 00:20:20         
RooUtil:: -|....................| 0.3 % (4385/1675664) with  [1379 Hz]   ETA 00:20:11         
RooUtil:: \|....................| 0.3 % (4417/1675664) with  [1389 Hz]   ETA 00:20:03         
RooUtil:: ||....................| 0.3 % (4449/1675664) with  [1398 Hz]   ETA 00:19:54         
RooUtil:: /|....................| 0.3 % (4481/1675664) with  [1408 Hz]   ETA 00:19:46         
RooUtil:: -|....................| 0.3 % (4513/1675664) with  [1418 Hz]   ETA 00:19:38         
RooUtil:: \|....................| 0.3 % (4545/1675664) with  [1428 Hz]   ETA 00:19:29         
RooUtil:: ||....................| 0.3 % (4577/1675664) with  [1438 Hz]   ETA 00:19:21         
RooUtil:: /|....................| 0.3 % (4609/1675664) with  [1442 Hz]   ETA 00:19:18         
RooUtil:: -|....................| 0.3 % (4625/1675664) with  [1446 Hz]   ETA 00:19:14         
RooUtil:: \|....................| 0.3 % (4641/1675664) with  [1451 Hz]   ETA 00:19:10         
RooUtil:: ||....................| 0.3 % (4657/1675664) with  [1456 Hz]   ETA 00:19:07         
RooUtil:: /|....................| 0.3 % (4673/1675664) with  [1461 Hz]   ETA 00:19:03         
RooUtil:: -|....................| 0.3 % (4689/1675664) with  [1466 Hz]   ETA 00:18:59         
RooUtil:: \|....................| 0.3 % (4705/1675664) with  [1471 Hz]   ETA 00:18:55         
RooUtil:: ||....................| 0.3 % (4721/1675664) with  [1476 Hz]   ETA 00:18:51         
RooUtil:: /|....................| 0.3 % (4737/1675664) with  [1481 Hz]   ETA 00:18:48         
RooUtil:: -|....................| 0.3 % (4753/1675664) with  [1486 Hz]   ETA 00:18:44         
RooUtil:: \|....................| 0.3 % (4769/1675664) with  [1491 Hz]   ETA 00:18:40         
RooUtil:: ||....................| 0.3 % (4785/1675664) with  [1495 Hz]   ETA 00:18:36         
RooUtil:: /|....................| 0.3 % (4801/1675664) with  [1500 Hz]   ETA 00:18:33         
RooUtil:: -|....................| 0.3 % (4817/1675664) with  [1505 Hz]   ETA 00:18:29         
RooUtil:: \|....................| 0.3 % (4833/1675664) with  [1509 Hz]   ETA 00:18:26         
RooUtil:: ||....................| 0.3 % (5135/1675664) with  [1599 Hz]   ETA 00:17:24         
RooUtil:: /|....................| 0.3 % (5441/1675664) with  [1692 Hz]   ETA 00:16:26         
RooUtil:: -|....................| 0.3 % (5764/1675664) with  [1790 Hz]   ETA 00:15:32         
RooUtil:: \|....................| 0.4 % (6104/1675664) with  [1893 Hz]   ETA 00:14:41         
RooUtil:: ||....................| 0.4 % (6444/1675664) with  [1995 Hz]   ETA 00:13:56         
RooUtil:: /|....................| 0.4 % (6801/1675664) with  [2102 Hz]   ETA 00:13:13         
RooUtil:: -|....................| 0.4 % (7158/1675664) with  [2199 Hz]   ETA 00:12:38         
RooUtil:: \|....................| 0.4 % (7481/1675664) with  [2278 Hz]   ETA 00:12:12         
RooUtil:: ||....................| 0.5 % (7753/1675664) with  [2346 Hz]   ETA 00:11:50         
RooUtil:: /|....................| 0.5 % (7991/1675664) with  [2392 Hz]   ETA 00:11:36         
RooUtil:: -|....................| 0.5 % (8144/1675664) with  [2437 Hz]   ETA 00:11:24         
RooUtil:: \|....................| 0.5 % (8297/1675664) with  [2481 Hz]   ETA 00:11:11         
RooUtil:: ||....................| 0.5 % (8450/1675664) with  [2525 Hz]   ETA 00:11:00         
RooUtil:: /|....................| 0.5 % (8603/1675664) with  [2569 Hz]   ETA 00:10:48         
RooUtil:: -|....................| 0.5 % (8739/1675664) with  [2607 Hz]   ETA 00:10:39         
RooUtil:: \|....................| 0.5 % (8875/1675664) with  [2646 Hz]   ETA 00:10:29         
RooUtil:: ||....................| 0.5 % (9011/1675664) with  [2686 Hz]   ETA 00:10:20         
RooUtil:: /|....................| 0.5 % (9147/1675664) with  [2725 Hz]   ETA 00:10:11         
RooUtil:: -|....................| 0.6 % (9283/1675664) with  [2752 Hz]   ETA 00:10:05         
RooUtil:: \|....................| 0.6 % (9368/1675664) with  [2777 Hz]   ETA 00:10:00         
RooUtil:: ||....................| 0.6 % (9453/1675664) with  [2801 Hz]   ETA 00:09:54         
RooUtil:: /|....................| 0.6 % (9538/1675664) with  [2825 Hz]   ETA 00:09:49         
RooUtil:: -|....................| 0.6 % (9623/1675664) with  [2848 Hz]   ETA 00:09:44         
RooUtil:: \|....................| 0.6 % (9691/1675664) with  [2867 Hz]   ETA 00:09:40         
RooUtil:: ||....................| 0.6 % (9759/1675664) with  [2887 Hz]   ETA 00:09:37         
RooUtil:: /|....................| 0.6 % (9827/1675664) with  [2906 Hz]   ETA 00:09:33         
RooUtil:: -|....................| 0.6 % (9895/1675664) with  [2925 Hz]   ETA 00:09:29         
RooUtil:: \|....................| 0.6 % (9963/1675664) with  [2945 Hz]   ETA 00:09:25         
RooUtil:: ||....................| 0.6 % (10031/1675664) with  [2964 Hz]   ETA 00:09:21         
RooUtil:: /|....................| 0.6 % (10082/1675664) with  [2978 Hz]   ETA 00:09:19         
RooUtil:: -|....................| 0.6 % (10133/1675664) with  [2993 Hz]   ETA 00:09:16         
RooUtil:: \|....................| 0.6 % (10184/1675664) with  [3007 Hz]   ETA 00:09:13         
RooUtil:: ||....................| 0.6 % (10235/1675664) with  [3017 Hz]   ETA 00:09:11         
RooUtil:: /|....................| 0.6 % (10269/1675664) with  [3027 Hz]   ETA 00:09:10         
RooUtil:: -|....................| 0.6 % (10303/1675664) with  [3036 Hz]   ETA 00:09:08         
RooUtil:: \|....................| 0.6 % (10337/1675664) with  [3046 Hz]   ETA 00:09:06         
RooUtil:: ||....................| 0.6 % (10371/1675664) with  [3056 Hz]   ETA 00:09:04         
RooUtil:: /|....................| 0.6 % (10405/1675664) with  [3065 Hz]   ETA 00:09:03         
RooUtil:: -|....................| 0.6 % (10439/1675664) with  [3075 Hz]   ETA 00:09:01         
RooUtil:: \|....................| 0.6 % (10473/1675664) with  [3084 Hz]   ETA 00:08:59         
RooUtil:: ||....................| 0.6 % (10490/1675664) with  [3089 Hz]   ETA 00:08:58         
RooUtil:: /|....................| 0.6 % (10507/1675664) with  [3094 Hz]   ETA 00:08:58         
RooUtil:: -|....................| 0.6 % (10524/1675664) with  [3099 Hz]   ETA 00:08:57         
RooUtil:: \|....................| 0.6 % (10541/1675664) with  [3103 Hz]   ETA 00:08:56         
RooUtil:: ||....................| 0.6 % (10558/1675664) with  [3108 Hz]   ETA 00:08:55         
RooUtil:: /|....................| 0.6 % (10575/1675664) with  [3113 Hz]   ETA 00:08:54         
RooUtil:: -|....................| 0.6 % (10592/1675664) with  [3117 Hz]   ETA 00:08:54         
RooUtil:: \|....................| 0.6 % (10609/1675664) with  [3121 Hz]   ETA 00:08:53         
RooUtil:: ||....................| 0.6 % (10626/1675664) with  [3126 Hz]   ETA 00:08:52         
RooUtil:: /|....................| 0.6 % (10643/1675664) with  [3131 Hz]   ETA 00:08:51         
RooUtil:: -|....................| 0.6 % (10660/1675664) with  [3136 Hz]   ETA 00:08:50         
RooUtil:: \|....................| 0.6 % (10677/1675664) with  [3141 Hz]   ETA 00:08:50         
RooUtil:: ||....................| 0.6 % (10694/1675664) with  [3145 Hz]   ETA 00:08:49         
RooUtil:: /|....................| 0.6 % (10711/1675664) with  [3150 Hz]   ETA 00:08:48         
RooUtil:: -|....................| 0.6 % (10728/1675664) with  [3155 Hz]   ETA 00:08:47         
RooUtil:: \|....................| 0.6 % (10745/1675664) with  [3160 Hz]   ETA 00:08:46         
RooUtil:: ||....................| 0.6 % (10762/1675664) with  [3164 Hz]   ETA 00:08:46         
RooUtil:: /|....................| 0.7 % (11395/1675664) with  [3302 Hz]   ETA 00:08:23         
RooUtil:: -|....................| 0.7 % (11899/1675664) with  [3394 Hz]   ETA 00:08:10         
RooUtil:: \|....................| 0.7 % (12223/1675664) with  [3482 Hz]   ETA 00:07:57         
RooUtil:: ||....................| 0.7 % (12547/1675664) with  [3569 Hz]   ETA 00:07:45         
RooUtil:: /|....................| 0.8 % (12853/1675664) with  [3651 Hz]   ETA 00:07:35         
RooUtil:: -|....................| 0.8 % (13159/1675664) with  [3734 Hz]   ETA 00:07:25         
RooUtil:: \|....................| 0.8 % (13447/1675664) with  [3811 Hz]   ETA 00:07:16         
RooUtil:: ||....................| 0.8 % (13735/1675664) with  [3887 Hz]   ETA 00:07:07         
RooUtil:: /|....................| 0.8 % (14005/1675664) with  [3944 Hz]   ETA 00:07:01         
RooUtil:: -|....................| 0.8 % (14203/1675664) with  [3996 Hz]   ETA 00:06:55         
RooUtil:: \|....................| 0.9 % (14401/1675664) with  [4047 Hz]   ETA 00:06:50         
RooUtil:: ||....................| 0.9 % (14581/1675664) with  [4093 Hz]   ETA 00:06:45         
RooUtil:: /|....................| 0.9 % (14743/1675664) with  [4108 Hz]   ETA 00:06:44         
RooUtil:: -|....................| 0.9 % (14797/1675664) with  [4122 Hz]   ETA 00:06:42         
RooUtil:: \|....................| 0.9 % (14851/1675664) with  [4137 Hz]   ETA 00:06:41         
RooUtil:: ||....................| 0.9 % (14905/1675664) with  [4151 Hz]   ETA 00:06:40         
RooUtil:: /|....................| 0.9 % (14959/1675664) with  [4149 Hz]   ETA 00:06:40         
RooUtil:: -|....................| 0.9 % (15771/1675664) with  [4313 Hz]   ETA 00:06:24         
RooUtil:: \|....................| 1.0 % (16398/1675664) with  [4455 Hz]   ETA 00:06:12         
RooUtil:: ||....................| 1.0 % (16949/1675664) with  [4596 Hz]   ETA 00:06:00         
RooUtil:: /|....................| 1.0 % (17481/1675664) with  [4729 Hz]   ETA 00:05:50         
RooUtil:: -|....................| 1.1 % (17975/1675664) with  [4852 Hz]   ETA 00:05:41         
RooUtil:: \|....................| 1.1 % (18450/1675664) with  [4919 Hz]   ETA 00:05:36         
RooUtil:: ||....................| 1.1 % (18697/1675664) with  [4962 Hz]   ETA 00:05:33         
RooUtil:: /|....................| 1.1 % (18868/1675664) with  [5002 Hz]   ETA 00:05:31         
RooUtil:: -|....................| 1.1 % (19020/1675664) with  [5039 Hz]   ETA 00:05:28         
RooUtil:: \|....................| 1.1 % (19153/1675664) with  [5072 Hz]   ETA 00:05:26         
RooUtil:: ||....................| 1.2 % (19286/1675664) with  [5103 Hz]   ETA 00:05:24         
RooUtil:: /|....................| 1.2 % (19400/1675664) with  [5131 Hz]   ETA 00:05:22         
RooUtil:: -|....................| 1.2 % (19514/1675664) with  [5159 Hz]   ETA 00:05:20         
RooUtil:: \|....................| 1.2 % (19609/1675664) with  [5183 Hz]   ETA 00:05:19         
RooUtil:: ||....................| 1.2 % (19704/1675664) with  [5162 Hz]   ETA 00:05:20         
RooUtil:: /|....................| 1.2 % (20661/1675664) with  [5367 Hz]   ETA 00:05:08         
RooUtil:: -|....................| 1.3 % (21481/1675664) with  [5561 Hz]   ETA 00:04:57         
RooUtil:: \|....................| 1.3 % (22261/1675664) with  [5708 Hz]   ETA 00:04:49         
RooUtil:: ||....................| 1.4 % (22841/1675664) with  [5821 Hz]   ETA 00:04:43         
RooUtil:: /|....................| 1.4 % (23301/1675664) with  [5906 Hz]   ETA 00:04:39         
RooUtil:: -|....................| 1.4 % (23641/1675664) with  [5936 Hz]   ETA 00:04:38         
RooUtil:: \|....................| 1.4 % (23761/1675664) with  [5964 Hz]   ETA 00:04:36         
RooUtil:: ||....................| 1.4 % (23861/1675664) with  [5987 Hz]   ETA 00:04:35         
RooUtil:: /|....................| 1.4 % (23961/1675664) with  [6010 Hz]   ETA 00:04:34         
RooUtil:: -|....................| 1.4 % (24061/1675664) with  [6031 Hz]   ETA 00:04:33         
RooUtil:: \|....................| 1.4 % (24141/1675664) with  [6049 Hz]   ETA 00:04:32         
RooUtil:: ||....................| 1.4 % (24201/1675664) with  [6063 Hz]   ETA 00:04:32         
RooUtil:: /|....................| 1.4 % (24261/1675664) with  [6077 Hz]   ETA 00:04:31         
RooUtil:: -|....................| 1.5 % (24321/1675664) with  [6090 Hz]   ETA 00:04:31         
RooUtil:: \|....................| 1.5 % (24381/1675664) with  [6104 Hz]   ETA 00:04:30         
RooUtil:: ||....................| 1.5 % (24421/1675664) with  [6113 Hz]   ETA 00:04:30         
RooUtil:: /|....................| 1.5 % (24461/1675664) with  [6122 Hz]   ETA 00:04:29         
RooUtil:: -|....................| 1.5 % (24501/1675664) with  [6131 Hz]   ETA 00:04:29         
RooUtil:: \|....................| 1.5 % (24541/1675664) with  [6140 Hz]   ETA 00:04:28         
RooUtil:: ||....................| 1.5 % (24581/1675664) with  [6150 Hz]   ETA 00:04:28         
RooUtil:: /|....................| 1.5 % (24621/1675664) with  [6159 Hz]   ETA 00:04:28         
RooUtil:: -|....................| 1.5 % (24641/1675664) with  [6163 Hz]   ETA 00:04:27         
RooUtil:: \|....................| 1.5 % (24661/1675664) with  [6168 Hz]   ETA 00:04:27         
RooUtil:: ||....................| 1.5 % (24681/1675664) with  [6172 Hz]   ETA 00:04:27         
RooUtil:: /|....................| 1.5 % (24701/1675664) with  [6177 Hz]   ETA 00:04:27         
RooUtil:: -|....................| 1.5 % (24721/1675664) with  [6181 Hz]   ETA 00:04:27         
RooUtil:: \|....................| 1.5 % (24741/1675664) with  [6186 Hz]   ETA 00:04:26         
RooUtil:: ||....................| 1.5 % (24761/1675664) with  [6191 Hz]   ETA 00:04:26         
RooUtil:: /|....................| 1.5 % (24781/1675664) with  [6195 Hz]   ETA 00:04:26         
RooUtil:: -|....................| 1.5 % (24801/1675664) with  [6200 Hz]   ETA 00:04:26         
RooUtil:: \|....................| 1.5 % (24821/1675664) with  [6204 Hz]   ETA 00:04:26         
RooUtil:: ||....................| 1.6 % (26062/1675664) with  [6410 Hz]   ETA 00:04:17         
RooUtil:: /|....................| 1.6 % (26944/1675664) with  [6580 Hz]   ETA 00:04:10         
RooUtil:: -|....................| 1.7 % (27658/1675664) with  [6664 Hz]   ETA 00:04:07         
RooUtil:: \|....................| 1.7 % (27994/1675664) with  [6735 Hz]   ETA 00:04:04         
RooUtil:: ||....................| 1.7 % (28309/1675664) with  [6804 Hz]   ETA 00:04:02         
RooUtil:: /|....................| 1.7 % (28582/1675664) with  [6863 Hz]   ETA 00:03:59         
RooUtil:: -|....................| 1.7 % (28834/1675664) with  [6914 Hz]   ETA 00:03:58         
RooUtil:: \|....................| 1.7 % (29044/1675664) with  [6957 Hz]   ETA 00:03:56         
